date,open,high,low,close,volume
7/26/2022,259.859985,259.880005,249.570007,251.899994,39348000
7/27/2022,261.160004,270.049988,258.850006,268.73999,45994000
7/28/2022,269.75,277.839996,267.869995,276.410004,33459300
7/29/2022,277.700012,282,276.630005,280.73999,32152800
8/1/2022,277.820007,281.279999,275.839996,278.01001,21539600
8/2/2022,276,277.890015,272.380005,274.820007,22754200
8/3/2022,276.76001,283.5,276.609985,282.470001,23518900
8/4/2022,281.799988,283.799988,280.170013,283.649994,18098700
8/5/2022,279.149994,283.649994,278.679993,282.910004,16774600
8/8/2022,284.049988,285.920013,279.320007,280.320007,18739200
8/9/2022,279.640015,283.079987,277.609985,282.299988,23405200
8/10/2022,288.170013,289.809998,286.940002,289.160004,24687800
8/11/2022,290.850006,291.209991,286.51001,287.019989,20065900
8/12/2022,288.480011,291.910004,286.940002,291.910004,22619700
8/15/2022,291,294.179993,290.109985,293.470001,18085700
8/16/2022,291.98999,294.040009,290.420013,292.709991,18102900
8/17/2022,289.73999,293.350006,289.470001,291.320007,18253400
8/18/2022,290.190002,291.910004,289.079987,290.170013,17186200
8/19/2022,288.899994,289.25,285.559998,286.149994,20570000
8/22/2022,282.079987,282.459991,277.220001,277.75,25061100
8/23/2022,276.440002,278.859985,275.399994,276.440002,17527400
8/24/2022,275.410004,277.230011,275.109985,275.790009,18137000
8/25/2022,277.329987,279.019989,274.519989,278.850006,16583400
8/26/2022,279.079987,280.339996,267.980011,268.089996,27549300
8/29/2022,265.850006,267.399994,263.850006,265.230011,20338500
8/30/2022,266.670013,267.049988,260.660004,262.970001,22767100
8/31/2022,265.390015,267.109985,261.329987,261.470001,24791800
9/1/2022,258.869995,260.890015,255.410004,260.399994,23263400
9/2/2022,261.700012,264.73999,254.470001,256.059998,22855400
9/6/2022,256.200012,257.829987,251.940002,253.25,21328200
9/7/2022,254.699997,258.829987,253.220001,258.089996,24126700
9/8/2022,257.51001,260.429993,254.789993,258.519989,20319900
9/9/2022,260.5,265.230011,260.290009,264.459991,22084700
9/12/2022,265.779999,267.450012,265.160004,266.649994,18747700
9/13/2022,258.839996,260.399994,251.589996,251.990005,33353300
9/14/2022,253.529999,254.229996,249.860001,252.220001,23913000
9/15/2022,249.770004,251.399994,244.020004,245.380005,31530900
9/16/2022,244.259995,245.300003,242.059998,244.740005,39791800
9/19/2022,242.470001,245.139999,240.850006,244.520004,26826900
9/20/2022,242.070007,243.509995,239.639999,242.449997,26660300
9/21/2022,244.270004,247.660004,238.899994,238.949997,28625600
9/22/2022,237.869995,243.860001,237.570007,240.979996,31061200
9/23/2022,239.539993,241.130005,235.199997,237.919998,34176000
9/26/2022,237.050003,241.449997,236.899994,237.449997,27694200
9/27/2022,239.979996,241.800003,234.5,236.410004,27018700
9/28/2022,236.809998,242.330002,234.729996,241.070007,29029700
9/29/2022,238.889999,239.949997,234.410004,237.5,27484200
9/30/2022,238.289993,240.539993,232.729996,232.899994,35694800
10/3/2022,235.410004,241.610001,234.660004,240.740005,28880400
10/4/2022,245.089996,250.360001,244.979996,248.880005,34888400
10/5/2022,245.990005,250.580002,244.100006,249.199997,20347100
10/6/2022,247.929993,250.339996,246.080002,246.789993,20239900
10/7/2022,240.899994,241.320007,233.169998,234.240005,37769600
10/10/2022,233.050003,234.559998,226.729996,229.25,29743600
10/11/2022,227.619995,229.059998,224.110001,225.410004,30474000
10/12/2022,225.399994,227.860001,223.960007,225.75,21903900
10/13/2022,219.850006,236.100006,219.130005,234.240005,42551800
10/14/2022,235.539993,237.240005,228.339996,228.559998,30198600
10/17/2022,235.820007,238.960007,235.139999,237.529999,28142300
10/18/2022,243.240005,243.929993,235.369995,238.5,26329600
10/19/2022,237.039993,239.610001,234.289993,236.479996,19985700
10/20/2022,235.770004,241.309998,234.869995,236.149994,21811000
10/21/2022,234.740005,243,234.5,242.119995,26299700
10/24/2022,243.759995,247.839996,241.300003,247.25,24911200
10/25/2022,247.259995,251.039993,245.830002,250.660004,34775500
10/26/2022,231.169998,238.300003,230.059998,231.320007,82543200
10/27/2022,231.039993,233.690002,225.779999,226.75,40424600
10/28/2022,226.240005,236.600006,226.050003,235.869995,40647700
10/31/2022,233.759995,234.919998,231.149994,232.130005,28357300
11/1/2022,234.600006,235.740005,227.330002,228.169998,30592300
11/2/2022,229.460007,231.300003,220.039993,220.100006,38407000
11/3/2022,220.089996,220.410004,213.979996,214.25,36633900
11/4/2022,217.550003,221.589996,213.429993,221.389999,36789100
11/7/2022,221.990005,228.410004,221.279999,227.869995,33498000
11/8/2022,228.699997,231.649994,225.839996,228.869995,28192500
11/9/2022,227.369995,228.630005,224.330002,224.509995,27852900
11/10/2022,235.429993,243.330002,235,242.979996,46268000
11/11/2022,242.990005,247.990005,241.929993,247.110001,34620200
11/14/2022,241.990005,243.910004,239.210007,241.550003,31123300
11/15/2022,245.660004,247,240.029999,241.970001,31390100
11/16/2022,242.789993,243.800003,240.419998,241.729996,24093300
11/17/2022,237.779999,243.25,237.630005,241.679993,23123500
11/18/2022,243.509995,243.740005,239.029999,241.220001,27613500
11/21/2022,241.429993,244.669998,241.190002,242.050003,26394700
11/22/2022,243.589996,245.309998,240.710007,245.029999,19665700
11/23/2022,245.110001,248.279999,244.270004,247.580002,19508500
11/25/2022,247.309998,248.699997,246.729996,247.490005,9200800
11/28/2022,246.080002,246.649994,240.800003,241.759995,24778200
11/29/2022,241.399994,242.789993,238.210007,240.330002,17956300
11/30/2022,240.570007,255.330002,239.860001,255.139999,47594200
12/1/2022,253.869995,256.119995,250.919998,254.690002,26041500
12/2/2022,249.820007,256.059998,249.690002,255.020004,21528500
12/5/2022,252.009995,253.820007,248.059998,250.199997,23435300
12/6/2022,250.820007,251.860001,243.779999,245.119995,22463700
12/7/2022,244.830002,246.160004,242.210007,244.369995,20481500
12/8/2022,244.839996,248.740005,243.059998,247.399994,22611800
12/9/2022,244.699997,248.309998,244.160004,245.419998,20609700
12/12/2022,247.449997,252.539993,247.169998,252.509995,30665100
12/13/2022,261.690002,263.920013,253.070007,256.920013,42196900
12/14/2022,257.130005,262.589996,254.309998,257.220001,35410900
12/15/2022,253.720001,254.199997,247.339996,249.009995,35560400
12/16/2022,248.550003,249.839996,243.509995,244.690002,86102000
12/19/2022,244.860001,245.210007,238.710007,240.449997,29696400
12/20/2022,239.399994,242.910004,238.419998,241.800003,25150800
12/21/2022,241.690002,245.619995,240.110001,244.429993,23690600
12/22/2022,241.259995,241.990005,233.869995,238.190002,28651700
12/23/2022,236.110001,238.869995,233.940002,238.729996,21207000
12/27/2022,238.699997,238.929993,235.830002,236.960007,16688600
12/28/2022,236.889999,239.720001,234.169998,234.529999,17457100
12/29/2022,235.649994,241.919998,235.649994,241.009995,19770700
12/30/2022,238.210007,239.960007,236.660004,239.820007,21938500
1/3/2023,243.080002,245.75,237.399994,239.580002,25740000
1/4/2023,232.279999,232.869995,225.960007,229.100006,50623400
1/5/2023,227.199997,227.550003,221.759995,222.309998,39585600
1/6/2023,223,225.759995,219.350006,224.929993,43613600
1/9/2023,226.449997,231.240005,226.410004,227.119995,27369800
1/10/2023,227.759995,231.309998,227.330002,228.850006,27033900
1/11/2023,231.289993,235.949997,231.110001,235.770004,28669300
1/12/2023,235.259995,239.899994,233.559998,238.509995,27269500
1/13/2023,237,239.369995,234.919998,239.229996,21333300
1/17/2023,237.970001,240.910004,237.089996,240.350006,29831300
1/18/2023,241.570007,242.380005,235.520004,235.809998,30028700
1/19/2023,233.779999,235.520004,230.679993,231.929993,28623000
1/20/2023,234.860001,240.740005,234.509995,240.220001,35389800
1/23/2023,241.100006,245.169998,239.649994,242.580002,31934000
1/24/2023,242.5,243.949997,240.440002,242.039993,40234400
1/25/2023,234.479996,243.300003,230.899994,240.610001,66526600
1/26/2023,243.649994,248.309998,242,248,33454500
1/27/2023,248.990005,249.830002,246.830002,248.160004,26498900
1/30/2023,244.509995,245.600006,242.199997,242.710007,25867400
1/31/2023,243.449997,247.949997,242.949997,247.809998,26541100
2/1/2023,248,255.179993,245.470001,252.75,31259900
2/2/2023,258.820007,264.690002,257.25,264.600006,39940400
2/3/2023,259.540009,264.200012,257.100006,258.350006,29077300
2/6/2023,257.440002,258.299988,254.779999,256.769989,22518000
2/7/2023,260.529999,268.769989,260.079987,267.559998,50841400
2/8/2023,273.200012,276.76001,266.209991,266.730011,54686000
2/9/2023,273.799988,273.980011,262.799988,263.619995,42375100
2/10/2023,261.529999,264.089996,260.660004,263.100006,25818500
2/13/2023,267.640015,274.600006,267.149994,271.320007,44630900
